account,campaign_name,adgroup_name,keyword,local_date,impressions,clicks,cost,currency,media_source,portal
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted femme,2019-02-25,836,336,7.98,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-02-20,657,179,18.12,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,+vinted +app,2019-02-20,5,2,0.08,EUR,Google,fr
FR-SEM-Brand,Google_Brand_FR-FR_Vinted_DW_CPC,Brand|E,vinted,2019-03-09,15401,4790,126.15,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted femme,2019-03-10,884,580,16.6,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Lister,,,2019-02-13,49123,275,119.54,EUR,Google,fr
FR-SEM-Brand,Google_Brand_FR-FR_Vinted_DW_CPC,Brand|P,vinted,2019-03-07,450,103,6.47,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-02-20,74,40,0.86,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted femme,2019-03-04,946,445,12.04,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_Android_CPC_Lister,,,2019-02-26,389484,1710,562.53,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted femme,2019-02-06,775,393,9.5,EUR,Google,fr
FR-SEM-Brand,Google_Brand_FR-FR_Vinted_DW_CPC,Brand|B,vinted,2019-03-07,1,1,0.01,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_Android_CPC_Lister,,,2019-02-15,271876,1386,440.53,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_Android_CPC_Lister,,,2019-02-05,278688,1330,408.82,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Install,,,2019-02-17,12630,35,20.59,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Install,,,2019-02-12,1118,4,1.88,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_Android_CPC_Lister,,,2019-02-22,283730,1754,587.59,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Install,,,2019-03-07,42241,124,114.51,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_Android_CPC_Lister,,,2019-02-19,328979,1596,495.26,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Install,,,2019-02-16,6783,18,10.13,EUR,Google,fr
FR-Display-UAC,FR_Android_Branded_Universal_4_no_img_no_video,,,2019-02-12,13926,1916,384.76,EUR,Google,fr
FR-Display-UAC,FR_Android_Branded_Universal_4_no_img_no_video,,,2019-03-02,32682,3172,603.06,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,+vinted +fr,2019-02-26,29,14,0.34,EUR,Google,fr
FR-Display-UAC,FR_Android_Branded_Universal_4_no_img_no_video,,,2019-02-13,13913,1853,366.21,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,+vinted +fr,2019-02-11,11,5,0.41,EUR,Google,fr
FR-Display-UAC,FR_Android_Branded_Universal_4_no_img_no_video,,,2019-02-14,10395,1865,337.62,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,+vinted +fr,2019-02-08,11,3,0.07,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,+vinted +fr,2019-02-20,15,5,0.08,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-03-03,742,228,24.15,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-02-13,984,280,33.51,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,winted,2019-02-07,79,37,1.07,EUR,Google,fr
